document_id,clean_text,sentiment
1,The bra provides excellent support and is very comfortable.,positive
2,"The straps dig into my shoulders, causing discomfort.",negative
3,"It fits as expected, but nothing remarkable about the design.",neutral
4,I love the soft fabric and how perfectly it fits!,positive
5,"The lace design is nice, but the underwire causes irritation.",negative
6,"Good quality material, and it?s comfortable for daily wear.",positive
7,"Average bra, comfortable but does not provide much support.",neutral
8,The seamless design is perfect for wearing under tight clothing.,positive
9,The underwire makes it painful after long hours.,negative
10,"Looks stylish, but I wish it had more padding.",neutral
